DATASET_NAME,SOURCE,SENSOR,PARAMETER,PROJ_NAME,SDPN,DS_SHORT_NAME,TOPIC,TERM,SOURCE_TYPE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOLOGICAL SURVEY OF AL (GSA) ANALYSIS,LANDSAT-7,LANDSAT-7,EROSION,SANDS,,slgsa,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOLOGICAL SURVEY OF AL (GSA) ANALYSIS,LANDSAT-7,LANDSAT-7,MARINE SEDIMENTS,SANDS,,slgsa,OCEANS,MARINE SEDIMENTS,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOLOGICAL SURVEY OF AL (GSA) ANALYSIS,LANDSAT-7,LANDSAT-7,SEDIMENTATION,SANDS,,slgsa,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOLOGICAL SURVEY OF AL (GSA) ANALYSIS,LANDSAT-7,ENHANCED THEMATIC MAPPER PLUS (ETM+),EROSION/SEDIMENTATION,SANDS,,slgsa,LAND SURFACE,EROSION/SEDIMENTATION,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOLOGICAL SURVEY OF AL (GSA) ANALYSIS,LANDSAT-7,ENHANCED THEMATIC MAPPER PLUS (ETM+),SEDIMENT TRANSPORT,SANDS,,slgsa,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOLOGICAL SURVEY OF AL (GSA) ANALYSIS,LANDSAT-7,ENHANCED THEMATIC MAPPER PLUS (ETM+),EROSION,SANDS,,slgsa,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOLOGICAL SURVEY OF AL (GSA) ANALYSIS,LANDSAT-7,ENHANCED THEMATIC MAPPER PLUS (ETM+),MARINE SEDIMENTS,SANDS,,slgsa,OCEANS,MARINE SEDIMENTS,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOLOGICAL SURVEY OF AL (GSA) ANALYSIS,LANDSAT-7,ENHANCED THEMATIC MAPPER PLUS (ETM+),SEDIMENTATION,SANDS,,slgsa,OCEANS,COASTAL PROCESSES,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-11,MSU,TEMPERATURE ANOMALIES,N/A, ,msut2,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-11,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-12,MSU,AIR TEMPERATURE,N/A,,msut2,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-12,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-12,MSU,TEMPERATURE ANOMALIES,N/A, ,msut2,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-12,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-14,MSU,AIR TEMPERATURE,N/A,,msut2,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-14,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-14,MSU,TEMPERATURE ANOMALIES,N/A, ,msut2,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-14,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-6,MSU,AIR TEMPERATURE,N/A,,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-6,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2lt,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-6,MSU,TEMPERATURE ANOMALIES,N/A, ,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-6,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2lt,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-7,MSU,AIR TEMPERATURE,N/A,,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-7,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2lt,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-7,MSU,TEMPERATURE ANOMALIES,N/A, ,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-7,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2lt,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-8,MSU,AIR TEMPERATURE,N/A,,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-8,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2lt,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-8,MSU,TEMPERATURE ANOMALIES,N/A, ,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-8,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2lt,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-9,MSU,AIR TEMPERATURE,N/A,,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-9,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2lt,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-9,MSU,TEMPERATURE ANOMALIES,N/A, ,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-9,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2lt,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-10,MSU,AIR TEMPERATURE,N/A,,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-10,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2lt,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-10,MSU,TEMPERATURE ANOMALIES,N/A, ,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-10,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2lt,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-11,MSU,AIR TEMPERATURE,N/A,,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-11,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2lt,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-11,MSU,TEMPERATURE ANOMALIES,N/A, ,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-11,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2lt,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-12,MSU,AIR TEMPERATURE,N/A,,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-12,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2lt,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-12,MSU,TEMPERATURE ANOMALIES,N/A, ,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-12,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2lt,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-14,MSU,AIR TEMPERATURE,N/A,,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-14,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2lt,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-14,MSU,TEMPERATURE ANOMALIES,N/A, ,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-14,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2lt,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-6,MSU,AIR TEMPERATURE,N/A,,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-6,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut4,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-6,MSU,TEMPERATURE ANOMALIES,N/A, ,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-6,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut4,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-7,MSU,AIR TEMPERATURE,N/A,,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-7,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut4,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-7,MSU,TEMPERATURE ANOMALIES,N/A, ,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-7,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut4,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-8,MSU,AIR TEMPERATURE,N/A,,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-8,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut4,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-8,MSU,TEMPERATURE ANOMALIES,N/A, ,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-8,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut4,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-9,MSU,AIR TEMPERATURE,N/A,,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-9,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut4,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-9,MSU,TEMPERATURE ANOMALIES,N/A, ,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-9,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut4,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-10,MSU,AIR TEMPERATURE,N/A,,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-10,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut4,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-10,MSU,TEMPERATURE ANOMALIES,N/A, ,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-10,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut4,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
GPM GROUND VALIDATION NOAA SURFACE METEOROLOGICAL STATION MC3E,METEOROLOGICAL STATIONS,HUMIDITY SENSORS,HUMIDITY,MC3E,,gpmsurmetmc3e,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,IN SITU LAND BASED
GPM GROUND VALIDATION NOAA SURFACE METEOROLOGICAL STATION MC3E,METEOROLOGICAL STATIONS,TEMPERATURE SENSORS,AIR TEMPERATURE,MC3E,,gpmsurmetmc3e,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,IN SITU LAND BASED
GPM GROUND VALIDATION NOAA SURFACE METEOROLOGICAL STATION MC3E,METEOROLOGICAL STATIONS,WIND MONITOR,SURFACE WINDS,MC3E,,gpmsurmetmc3e,ATMOSPHERE,ATMOSPHERIC WINDS,IN SITU LAND BASED
GPM GROUND VALIDATION NOAA SURFACE METEOROLOGICAL STATION MC3E,METEOROLOGICAL STATIONS,RAIN GAUGES,PRECIPITATION AMOUNT,MC3E,,gpmsurmetmc3e,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-11,MSU,AIR TEMPERATURE,N/A,,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-11,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut4,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-11,MSU,TEMPERATURE ANOMALIES,N/A, ,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-11,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut4,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-12,MSU,AIR TEMPERATURE,N/A,,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-12,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut4,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-12,MSU,TEMPERATURE ANOMALIES,N/A, ,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-12,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut4,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-14,MSU,AIR TEMPERATURE,N/A,,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-14,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut4,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-14,MSU,TEMPERATURE ANOMALIES,N/A, ,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-14,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut4,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-15,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-15,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-16,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-16,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-18,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-18,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,AQUA,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,AQUA,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-15,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2lt,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-15,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2lt,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-16,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2lt,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-16,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2lt,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-18,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2lt,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-18,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2lt,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,AQUA,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2lt,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,AQUA,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2lt,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-15,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut4,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-15,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut4,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-16,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut4,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-16,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut4,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-18,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut4,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,NOAA-18,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut4,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,AQUA,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut4,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,AQUA,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut4,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
RSS SSMIS OCEAN PRODUCT GRIDS DAILY FROM DMSP F16 NETCDF,DMSP-F16,SSMIS,SURFACE WINDS,DISCOVER,,rssmif16d,ATMOSPHERE,ATMOSPHERIC WINDS,SATELLITE
